iter	Passed	Remaining
412	3687	85601
413	3696	85591
414	3704	85564
415	3713	85548
416	3722	85545
417	3731	85541
418	3740	85524
419	3749	85515
420	3757	85494
421	3765	85471
422	3773	85443
423	3782	85424
424	3789	85384
425	3797	85355
426	3806	85339
427	3815	85321
428	3823	85308
429	3832	85287
430	3839	85247
431	3847	85222
432	3855	85192
433	3863	85164
434	3871	85131
435	3879	85104
436	3887	85065
437	3895	85048
438	3903	85022
439	3912	84999
440	3920	84971
441	3928	84959
442	3937	84951
443	3946	84930
444	3954	84906
445	3962	84885
446	3971	84868
447	3979	84842
448	3987	84816
449	3995	84799
450	4003	84776
451	4012	84758
452	4020	84735
453	4029	84716
454	4036	84687
455	4045	84675
456	4054	84656
457	4062	84638
458	4070	84605
459	4079	84599
460	4088	84598
461	4098	84604
462	4106	84595
463	4115	84590
464	4125	84586
465	4133	84561
466	4141	84549
467	4149	84524
468	4158	84511
469	4166	84483
470	4174	84464
471	4183	84447
472	4192	84438
473	4201	84428
474	4210	84428
475	4218	84405
476	4227	84398
477	4235	84381
478	4244	84374
479	4253	84357
480	4262	84359
481	4273	84385
482	4283	84401
483	4294	84431
484	4304	84449
485	4314	84459
486	4324	84482
487	4334	84486
488	4344	84491
489	4354	84504
490	4364	84517
491	4374	84535
492	4383	84540
493	4393	84549
494	4403	84559
495	4415	84598
496	4424	84607
497	4434	84608
498	4445	84639
499	4454	84642
500	4463	84633
501	4472	84621
502	4480	84592
503	4489	84587
504	4498	84584
505	4508	84595
506	4518	84599
507	4526	84582
508	4536	84584
509	4545	84584
510	4555	84595
511	4565	84599
512	4574	84601
513	4584	84602
514	4607	84857
515	4621	84940
516	4637	85061
517	4648	85089
518	4660	85142
519	4673	85196
520	4683	85218
521	4694	85242
522	4705	85273
523	4716	85295
524	4727	85328
525	4739	85356
526	4749	85374
527	4760	85392
528	4771	85427
529	4780	85416
530	4790	85422
531	4800	85432
532	4809	85419
533	4818	85416
534	4827	85405
535	4836	85391
536	4844	85371
537	4853	85358
538	4862	85347
539	4871	85339
540	4879	85311
541	4887	85288
542	4895	85262
543	4905	85263
544	4915	85274
545	4924	85261
546	4932	85246
547	4940	85215
548	4949	85208
549	4958	85191
550	4966	85166
551	4974	85146
552	4982	85121
553	4990	85098
554	4999	85074
555	5007	85047
556	5016	85040
557	5024	85024
558	5032	85002
559	5041	84987
560	5050	84970
561	5058	84954
562	5067	84946
563	5077	84943
564	5086	84938
565	5095	84929
566	5104	84916
567	5113	84908
568	5122	84900
569	5131	84893
570	5140	84893
571	5150	84900
572	5161	84917
573	5171	84916
574	5181	84925
575	5190	84923
576	5199	84906
577	5208	84903
578	5216	84882
579	5226	84878
580	5234	84863
581	5243	84857
582	5252	84837
583	5261	84827
584	5269	84808
585	5279	84807
586	5288	84797
587	5295	84770
588	5304	84757
589	5313	84747
590	5322	84738
591	5330	84716
592	5338	84694
593	5346	84668
594	5355	84660
595	5364	84642
596	5373	84633
597	5381	84614
598	5390	84603
599	5399	84584
600	5407	84569
601	5416	84555
602	5425	84545
603	5433	84526
604	5442	84522
605	5451	84511
606	5460	84500
607	5469	84488
608	5478	84473
609	5487	84466
610	5495	84454
611	5504	84441
612	5512	84415
613	5520	84396
614	5529	84373
615	5537	84351
616	5545	84338
617	5554	84324
618	5563	84313
619	5572	84313
620	5582	84318
621	5591	84305
622	5600	84288
623	5609	84288
624	5619	84295
625	5630	84314
626	5639	84311
627	5649	84303
628	5657	84294
629	5666	84277
630	5675	84267
631	5684	84255
632	5692	84236
633	5701	84223
634	5710	84217
635	5719	84211
636	5728	84195
637	5736	84183
638	5745	84174
639	5755	84173
640	5765	84181
641	5774	84170
642	5783	84163
643	5792	84158
644	5801	84145
645	5810	84139
646	5819	84131
647	5829	84133
648	5839	84131
649	5848	84122
650	5856	84104
651	5866	84107
652	5874	84093
653	5883	84083
654	5892	84075
655	5901	84063
656	5909	84040
657	5917	84020
658	5925	83997
659	5934	83980
660	5943	83969
661	5951	83956
662	5960	83939
663	5968	83925
664	5977	83913
665	5986	83894
666	5994	83875
667	6002	83856
668	6011	83843
669	6019	83826
670	6027	83805
671	6035	83782
672	6044	83767
673	6052	83748
674	6061	83733
675	6070	83723
676	6078	83713
677	6086	83691
678	6096	83686
679	6104	83674
680	6114	83670
681	6123	83666
682	6131	83647
683	6141	83640
684	6149	83620
685	6159	83624
686	6167	83613
687	6176	83594
688	6184	83573
689	6193	83563
690	6201	83549
691	6210	83538
692	6219	83531
693	6228	83523
694	6238	83520
695	6246	83506
696	6255	83493
697	6264	83484
698	6273	83478
699	6282	83464
700	6291	83459
701	6301	83469
702	6311	83461
703	6319	83449
704	6328	83431
705	6336	83417
706	6345	83403
707	6354	83398
708	6363	83394
709	6372	83375
710	6380	83354
711	6389	83348
712	6397	83329
713	6407	83328
714	6416	83318
715	6425	83313
716	6433	83293
717	6441	83267
718	6448	83235
719	6456	83210
720	6464	83194
721	6472	83172
722	6480	83147
723	6487	83124
724	6496	83106
725	6504	83089
726	6512	83071
727	6520	83044
728	6528	83021
729	6535	82993
730	6543	82976
731	6552	82957
732	6560	82943
733	6569	82928
734	6578	82919
735	6587	82922
736	6597	82922
737	6607	82920
738	6615	82909
739	6625	82902
740	6634	82904
741	6643	82897
742	6653	82893
743	6663	82897
744	6672	82886
745	6680	82875
746	6689	82862
747	6699	82861
748	6708	82858
749	6717	82854
750	6726	82835
751	6734	82817
752	6742	82801
753	6751	82791
754	6760	82784
755	6769	82772
756	6778	82768
757	6787	82757
758	6796	82743
759	6804	82726
760	6812	82708
761	6821	82695
762	6829	82681
763	6838	82675
764	6848	82668
765	6856	82653
766	6865	82641
767	6873	82619
768	6882	82612
769	6890	82598
770	6901	82607
771	6909	82597
772	6918	82579
773	6926	82566
774	6934	82547
775	6943	82529
776	6951	82510
777	6960	82507
778	6968	82489
779	6978	82493
780	6987	82477
781	6995	82458
782	7003	82436
783	7012	82431
784	7019	82406
785	7027	82385
786	7036	82370
787	7045	82361
788	7053	82340
789	7061	82326
790	7069	82305
791	7077	82290
792	7086	82273
793	7095	82270
794	7103	82252
795	7112	82239
796	7120	82215
797	7128	82202
798	7136	82178
799	7144	82162
800	7152	82146
801	7161	82134
802	7169	82113
803	7177	82098
804	7185	82076
805	7194	82061
806	7202	82050
807	7211	82039
808	7216	81983
809	7224	81967
810	7232	81952
811	7240	81931
812	7249	81917
813	7257	81904
814	7266	81888
815	7274	81870
816	7282	81853
817	7290	81838
818	7299	81822
819	7308	81814
820	7315	81793
821	7324	81775
822	7331	81748
823	7339	81726
824	7347	81708
825	7355	81690
826	7363	81670
827	7371	81656
828	7379	81638
829	7388	81626
830	7396	81613
831	7404	81593
832	7413	81582
833	7421	81569
834	7430	81562
835	7439	81551
836	7447	81532
837	7456	81521
838	7464	81504
839	7473	81494
840	7482	81492
841	7491	81484
842	7499	81464
843	7508	81452
844	7515	81430
845	7524	81412
846	7532	81393
847	7540	81381
848	7548	81366
849	7557	81355
850	7566	81347
851	7575	81336
852	7586	81355
853	7596	81358
854	7606	81358
855	7618	81379
856	7627	81377
857	7637	81377
858	7647	81377
859	7656	81367
860	7665	81366
861	7675	81367
862	7684	81362
863	7694	81360
864	7703	81355
865	7713	81358
866	7722	81345
867	7732	81355
868	7741	81344
869	7751	81342
870	7759	81328
871	7769	81327
872	7780	81340
873	7792	81369
874	7803	81382
875	7813	81386
876	7825	81408
877	7837	81429
878	7847	81429
879	7855	81411
880	7865	81417
881	7875	81412
882	7884	81409
